seqid	mrca	ps
AT1G50160.1	Brassicaceae	18
AT2G22345.1	Brassicaceae	18
ATMG00010.1	Brassicaceae	18
AT2G07702.1	Brassicaceae	18
AT3G26934.1	Brassicaceae	18
AT1G05085.1	Brassicaceae	18
AT1G13609.1	Brassicaceae	18
AT2G25565.1	Brassicaceae	18
AT5G60805.1	Brassicaceae	18
AT1G52410.2	Brassicaceae	18
AT2G04925.1	Brassicaceae	18
AT1G63522.1	Brassicaceae	18
AT1G07680.1	Brassicaceae	18
AT3G06545.1	Brassicaceae	18
AT5G09978.1	Brassicaceae	18
AT4G30050.1	Brassicaceae	18
AT5G14330.1	Brassicaceae	18
AT1G62210.1	Brassicaceae	18
ATMG01040.1	Brassicaceae	18
AT1G42525.1	Brassicaceae	18
AT4G30730.1	Brassicaceae	18
AT2G03320.1	Brassicaceae	18
AT1G50220.1	Brassicaceae	18
AT4G37295.1	Brassicaceae	18
AT4G17453.1	Brassicaceae	18
AT1G22420.1	Brassicaceae	18
AT1G65352.1	Brassicaceae	18
AT5G44574.1	Brassicaceae	18
AT2G16225.1	Brassicaceae	18
AT1G28500.1	Brassicaceae	18
AT3G11825.1	Brassicaceae	18
AT1G09625.1	Brassicaceae	18
AT5G54350.1	Brassicaceae	18
AT1G13608.1	Brassicaceae	18
AT3G59455.1	Brassicaceae	18
AT1G65486.1	Brassicaceae	18
AT3G03826.1	Brassicaceae	18
AT5G09672.1	Brassicaceae	18
AT1G35435.1	Brassicaceae	18
AT1G35890.1	Brassicaceae	18
AT2G21465.1	Brassicaceae	18
AT4G01985.1	Brassicaceae	18
AT5G43770.1	Brassicaceae	18
AT5G17110.1	Brassicaceae	18
AT5G60810.1	Brassicaceae	18
AT2G42540.1	Brassicaceae	18
AT5G55565.1	Brassicaceae	18
AT3G30350.2	Brassicaceae	18
AT1G65510.1	Brassicaceae	18
AT3G23727.1	Brassicaceae	18
AT1G34830.1	Brassicaceae	18
AT3G01324.1	Brassicaceae	18
AT4G18860.1	Brassicaceae	18
AT4G11100.2	Brassicaceae	18
AT1G30795.1	Brassicaceae	18
AT5G03204.1	Brassicaceae	18
AT4G28564.1	Brassicaceae	18
AT5G56369.1	Brassicaceae	18
AT1G12080.1	Brassicaceae	18
AT2G07806.3	Brassicaceae	18
AT1G53635.1	Brassicaceae	18
AT4G18580.1	Brassicaceae	18
AT3G05727.1	Brassicaceae	18
AT3G23172.1	Brassicaceae	18
AT1G12080.2	Brassicaceae	18
AT4G35725.1	Brassicaceae	18
AT1G68250.2	Brassicaceae	18
AT4G15096.1	Brassicaceae	18
AT2G43018.1	Brassicaceae	18
AT3G28980.1	Brassicaceae	18
AT4G22230.2	Brassicaceae	18
AT5G44973.1	Brassicaceae	18
AT4G30750.1	Brassicaceae	18
AT1G34850.1	Brassicaceae	18
AT1G49715.1	Brassicaceae	18
AT1G02540.1	Brassicaceae	18
AT1G28630.5	Brassicaceae	18
AT5G38980.1	Brassicaceae	18
AT3G28770.1	Brassicaceae	18
AT1G75770.1	Brassicaceae	18
AT2G45930.1	Brassicaceae	18
AT5G18403.1	Brassicaceae	18
AT2G22080.1	Brassicaceae	18
AT5G28410.1	Brassicaceae	18
AT5G22555.1	Brassicaceae	18
AT5G52901.1	Brassicaceae	18
AT3G05730.1	Brassicaceae	18
AT2G11620.1	Brassicaceae	18
AT1G23680.1	Brassicaceae	18
AT2G20208.1	Brassicaceae	18
AT4G22235.1	Brassicaceae	18
AT1G43171.1	Brassicaceae	18
AT5G28610.1	Brassicaceae	18
AT4G14785.1	Brassicaceae	18
AT1G54720.1	Brassicaceae	18
AT4G14530.1	Brassicaceae	18
AT1G30972.1	Brassicaceae	18
AT5G23903.1	Brassicaceae	18
AT5G42223.1	Brassicaceae	18
AT2G19146.1	Brassicaceae	18
AT2G07806.2	Brassicaceae	18
AT1G16025.1	Brassicaceae	18
ATMG01100.1	Brassicaceae	18
AT3G28820.1	Brassicaceae	18
AT5G54215.1	Brassicaceae	18
AT5G44575.1	Brassicaceae	18
AT2G12170.1	Brassicaceae	18
AT1G60987.1	Brassicaceae	18
AT1G28630.3	Brassicaceae	18
AT5G55132.1	Brassicaceae	18
AT3G56670.1	Brassicaceae	18
AT3G23633.1	Brassicaceae	18
AT2G41440.1	Brassicaceae	18
AT1G29540.1	Brassicaceae	18
AT3G44230.1	Brassicaceae	18
AT2G20597.1	Brassicaceae	18
AT3G06090.1	Brassicaceae	18
AT1G23610.1	Brassicaceae	18
AT2G42510.3	Brassicaceae	18
AT1G07600.1	Brassicaceae	18
AT1G49150.1	Brassicaceae	18
AT1G53325.1	Brassicaceae	18
AT4G39320.1	Brassicaceae	18
AT5G46730.1	Brassicaceae	18
AT5G53740.1	Brassicaceae	18
AT3G01250.1	Brassicaceae	18
AT1G36622.1	Brassicaceae	18
AT3G01230.1	Brassicaceae	18
AT1G34840.1	Brassicaceae	18
AT3G48208.1	Brassicaceae	18
AT4G17713.1	Brassicaceae	18
AT1G53625.1	Brassicaceae	18
AT5G07572.1	Brassicaceae	18
AT3G24640.1	Brassicaceae	18
AT2G03936.1	Brassicaceae	18
AT4G03165.1	Brassicaceae	18
AT3G25265.1	Brassicaceae	18
AT5G25300.1	Brassicaceae	18
AT1G34825.1	Brassicaceae	18
AT4G26030.1	Brassicaceae	18
AT5G45875.1	Brassicaceae	18
AT5G04080.3	Brassicaceae	18
AT3G45285.1	Brassicaceae	18
AT1G26720.1	Brassicaceae	18
AT3G30350.1	Brassicaceae	18
AT5G64900.1	Brassicaceae	18
AT4G07675.1	Brassicaceae	18
AT3G63040.1	Brassicaceae	18
ATMG00440.1	Brassicaceae	18
AT4G33465.1	Brassicaceae	18
AT3G14480.1	Brassicaceae	18
AT5G55131.1	Brassicaceae	18
AT2G38823.1	Brassicaceae	18
AT2G07806.1	Brassicaceae	18
AT3G44235.1	Brassicaceae	18
AT1G56415.1	Brassicaceae	18
AT1G34820.1	Brassicaceae	18
AT4G29770.2	Brassicaceae	18
AT1G30974.2	Brassicaceae	18
AT3G28780.1	Brassicaceae	18
AT3G43970.1	Brassicaceae	18
AT5G40620.1	Brassicaceae	18
AT3G43148.1	Brassicaceae	18
AT1G21866.1	Brassicaceae	18
AT2G32690.1	Brassicaceae	18
AT5G62400.1	Brassicaceae	18
AT1G35410.1	Brassicaceae	18
AT3G45243.1	Brassicaceae	18
AT2G35765.1	Brassicaceae	18
AT1G02405.1	Brassicaceae	18
AT5G47170.1	Brassicaceae	18
AT4G28085.1	Brassicaceae	18
AT2G28405.1	Brassicaceae	18
AT5G54095.1	Brassicaceae	18
AT3G27503.1	Brassicaceae	18
AT1G76840.1	Brassicaceae	18
AT1G51020.1	Brassicaceae	18
AT3G33187.1	Brassicaceae	18
AT2G32690.2	Brassicaceae	18
AT1G21520.1	Brassicaceae	18
AT5G35737.1	Brassicaceae	18
AT4G23110.1	Brassicaceae	18
AT1G80970.1	Brassicaceae	18
AT2G39975.1	Brassicaceae	18
AT1G62080.1	Brassicaceae	18
AT1G62070.1	Brassicaceae	18
AT5G06040.1	Brassicaceae	18
AT2G32788.1	Brassicaceae	18
AT5G46320.1	Brassicaceae	18
AT3G04270.1	Brassicaceae	18
AT1G63057.2	Brassicaceae	18
AT3G24513.1	Brassicaceae	18
AT5G39540.1	Brassicaceae	18
AT5G22150.1	Brassicaceae	18
AT5G44578.1	Brassicaceae	18
AT1G34810.1	Brassicaceae	18
AT2G27145.1	Brassicaceae	18
AT2G38304.1	Brassicaceae	18
AT2G29790.1	Brassicaceae	18
AT3G01240.1	Brassicaceae	18
AT3G19055.1	Brassicaceae	18
AT3G44690.1	Brassicaceae	18
AT4G22230.1	Brassicaceae	18
AT1G30972.2	Brassicaceae	18
AT3G05935.1	Brassicaceae	18
AT1G01810.1	Brassicaceae	18
AT5G43000.1	Brassicaceae	18
AT5G04045.1	Brassicaceae	18
AT1G10990.1	Brassicaceae	18
AT1G16022.1	Brassicaceae	18
AT4G11700.1	Brassicaceae	18
AT1G65500.1	Brassicaceae	18
AT5G27495.1	Brassicaceae	18
AT4G28397.1	Brassicaceae	18
AT5G52680.1	Brassicaceae	18
AT1G21395.1	Brassicaceae	18
AT1G10745.1	Brassicaceae	18
AT2G06667.1	Brassicaceae	18
AT1G60986.1	Brassicaceae	18
AT2G05510.2	Brassicaceae	18
AT4G08760.1	Brassicaceae	18
AT1G60983.1	Brassicaceae	18
AT2G05510.1	Brassicaceae	18
AT1G53935.1	Brassicaceae	18
AT4G29020.1	Brassicaceae	18
AT1G26710.1	Brassicaceae	18
AT4G02465.1	Brassicaceae	18
AT5G62330.1	Brassicaceae	18
AT3G03726.2	Brassicaceae	18
AT2G13430.1	Brassicaceae	18
AT3G48640.1	Brassicaceae	18
AT5G10040.1	Brassicaceae	18
AT1G05550.2	Brassicaceae	18
ATMG01400.1	Brassicaceae	18
ATMG01370.1	Brassicaceae	18
AT1G36640.1	Brassicaceae	18
AT4G08073.1	Brassicaceae	18
AT4G12930.1	Brassicaceae	18
AT2G07280.1	Brassicaceae	18
AT2G11010.1	Brassicaceae	18
AT2G31850.1	Brassicaceae	18
AT1G05330.1	Brassicaceae	18
AT1G65481.1	Brassicaceae	18
AT1G62880.2	Brassicaceae	18
AT1G43680.1	Brassicaceae	18
AT3G43170.1	Brassicaceae	18
AT1G33820.1	Brassicaceae	18
AT5G41640.1	Brassicaceae	18
AT1G28815.1	Brassicaceae	18
AT3G23680.1	Brassicaceae	18
AT4G03940.1	Brassicaceae	18
AT1G27135.1	Brassicaceae	18
AT3G23715.1	Brassicaceae	18
AT1G21950.1	Brassicaceae	18
AT2G09388.1	Brassicaceae	18
AT3G10195.1	Brassicaceae	18
AT5G08505.1	Brassicaceae	18
AT1G07690.1	Brassicaceae	18
AT3G19530.1	Brassicaceae	18
AT2G17442.2	Brassicaceae	18
ATMG00770.1	Brassicaceae	18
AT1G56418.1	Brassicaceae	18
AT4G20095.2	Brassicaceae	18
AT2G05510.5	Brassicaceae	18
AT3G63050.1	Brassicaceae	18
AT1G36230.1	Brassicaceae	18
AT2G42395.1	Brassicaceae	18
AT3G49270.2	Brassicaceae	18
AT5G48605.1	Brassicaceae	18
AT4G12220.1	Brassicaceae	18
AT4G01895.1	Brassicaceae	18
AT1G28630.4	Brassicaceae	18
AT5G61228.1	Brassicaceae	18
AT3G05080.1	Brassicaceae	18
AT5G56368.1	Brassicaceae	18
AT3G14030.1	Brassicaceae	18
AT4G08028.1	Brassicaceae	18
AT2G07798.1	Brassicaceae	18
AT4G03740.1	Brassicaceae	18
AT1G34815.1	Brassicaceae	18
AT3G20557.2	Brassicaceae	18
AT3G19030.1	Brassicaceae	18
AT2G03822.1	Brassicaceae	18
AT4G03728.1	Brassicaceae	18
AT3G29330.2	Brassicaceae	18
AT5G50565.1	Brassicaceae	18
AT3G61678.1	Brassicaceae	18
AT1G15757.1	Brassicaceae	18
AT5G16567.1	Brassicaceae	18
AT2G41997.1	Brassicaceae	18
AT5G55010.1	Brassicaceae	18
AT5G15725.1	Brassicaceae	18
AT1G75190.1	Brassicaceae	18
AT5G54067.1	Brassicaceae	18
AT2G42885.1	Brassicaceae	18
AT2G15535.1	Brassicaceae	18
AT1G64360.1	Brassicaceae	18
AT2G46787.1	Brassicaceae	18
AT1G62690.1	Brassicaceae	18
AT1G35537.1	Brassicaceae	18
AT1G68845.1	Brassicaceae	18
AT2G24310.1	Brassicaceae	18
AT3G50550.1	Brassicaceae	18
AT3G18120.1	Brassicaceae	18
AT5G50665.1	Brassicaceae	18
AT5G53895.1	Brassicaceae	18
AT2G18320.1	Brassicaceae	18
AT2G20595.1	Brassicaceae	18
AT5G22680.1	Brassicaceae	18
AT5G44568.1	Brassicaceae	18
AT5G39140.1	Brassicaceae	18
AT5G60350.1	Brassicaceae	18
AT1G55175.1	Brassicaceae	18
AT5G46730.2	Brassicaceae	18
AT4G27657.1	Brassicaceae	18
AT5G18065.1	Brassicaceae	18
AT5G41530.1	Brassicaceae	18
AT3G01961.1	Brassicaceae	18
AT5G22190.1	Brassicaceae	18
AT2G32690.4	Brassicaceae	18
AT2G07795.1	Brassicaceae	18
AT5G46115.1	Brassicaceae	18
AT1G49110.1	Brassicaceae	18
AT2G32690.3	Brassicaceae	18
AT5G48175.1	Brassicaceae	18
AT4G30067.1	Brassicaceae	18
AT4G03298.1	Brassicaceae	18
AT1G04445.1	Brassicaceae	18
AT3G01730.1	Brassicaceae	18
AT3G42310.1	Brassicaceae	18
AT2G34123.1	Brassicaceae	18
AT4G12940.1	Brassicaceae	18
AT1G47680.1	Brassicaceae	18
AT4G11760.1	Brassicaceae	18
AT1G13607.1	Brassicaceae	18
AT5G38378.1	Brassicaceae	18
AT1G27710.1	Brassicaceae	18
AT5G38090.1	Brassicaceae	18
AT2G20970.2	Brassicaceae	18
AT2G22805.1	Brassicaceae	18
AT3G24093.1	Brassicaceae	18
AT1G66245.1	Brassicaceae	18
AT5G23840.2	Brassicaceae	18
AT1G28335.1	Brassicaceae	18
AT3G63052.1	Brassicaceae	18
AT4G11485.1	Brassicaceae	18
AT4G18080.1	Brassicaceae	18
AT3G45110.1	Brassicaceae	18
AT4G15953.1	Brassicaceae	18
AT1G67455.1	Brassicaceae	18
AT1G28630.1	Brassicaceae	18
AT5G60615.1	Brassicaceae	18
AT2G02490.1	Brassicaceae	18
AT5G44572.1	Brassicaceae	18
AT3G43505.1	Brassicaceae	18
AT1G80970.2	Brassicaceae	18
AT4G29760.1	Brassicaceae	18
AT2G07290.1	Brassicaceae	18
AT3G61389.1	Brassicaceae	18
AT3G20850.1	Brassicaceae	18
AT1G34047.1	Brassicaceae	18
AT5G36190.1	Brassicaceae	18
AT3G29791.1	Brassicaceae	18
AT1G50470.1	Brassicaceae	18
AT2G07787.1	Brassicaceae	18
AT1G31620.1	Brassicaceae	18
AT5G17150.1	Brassicaceae	18
AT3G54410.1	Brassicaceae	18
AT4G18501.1	Brassicaceae	18
AT5G61605.1	Brassicaceae	18
AT3G56390.1	Brassicaceae	18
AT3G15960.1	Brassicaceae	18
AT2G26370.1	Brassicaceae	18
AT2G33233.1	Brassicaceae	18
AT3G05460.1	Brassicaceae	18
AT3G13432.1	Brassicaceae	18
AT4G03945.2	Brassicaceae	18
AT1G48070.2	Brassicaceae	18
AT5G09980.1	Brassicaceae	18
AT1G76230.1	Brassicaceae	18
AT5G43401.1	Brassicaceae	18
AT5G40155.1	Brassicaceae	18
AT2G17442.3	Brassicaceae	18
AT3G07710.1	Brassicaceae	18
AT3G04184.1	Brassicaceae	18
AT2G32275.1	Brassicaceae	18
AT5G26717.1	Brassicaceae	18
AT2G10535.1	Brassicaceae	18
AT1G48145.1	Brassicaceae	18
AT2G15340.1	Brassicaceae	18
AT2G16592.1	Brassicaceae	18
AT4G23780.1	Brassicaceae	18
AT5G64890.1	Brassicaceae	18
AT1G70944.1	Brassicaceae	18
AT2G20618.1	Brassicaceae	18
AT2G47200.1	Brassicaceae	18
AT3G24508.1	Brassicaceae	18
AT1G19060.1	Brassicaceae	18
AT2G07779.1	Brassicaceae	18
AT5G23035.1	Brassicaceae	18
AT1G63105.1	Brassicaceae	18
AT1G19086.1	Brassicaceae	18
AT3G07005.1	Brassicaceae	18
AT5G22170.1	Brassicaceae	18
AT5G26090.1	Brassicaceae	18
AT5G58412.1	Brassicaceae	18
AT5G26080.1	Brassicaceae	18
AT1G35400.1	Brassicaceae	18
AT1G30974.1	Brassicaceae	18
AT1G58055.1	Brassicaceae	18
AT2G41415.1	Brassicaceae	18
AT3G04640.2	Brassicaceae	18
AT3G15950.2	Brassicaceae	18
AT4G10457.1	Brassicaceae	18
AT1G47389.1	Brassicaceae	18
AT2G31035.1	Brassicaceae	18
AT1G11608.1	Brassicaceae	18
AT4G23090.2	Brassicaceae	18
AT4G33610.1	Brassicaceae	18
ATMG00260.1	Brassicaceae	18
AT1G24060.1	Brassicaceae	18
AT5G23830.2	Brassicaceae	18
AT1G05136.1	Brassicaceae	18
AT2G41231.1	Brassicaceae	18
AT4G20095.3	Brassicaceae	18
AT5G50665.2	Brassicaceae	18
AT5G46300.1	Brassicaceae	18
AT2G36255.1	Brassicaceae	18
AT4G09649.1	Brassicaceae	18
AT5G37220.1	Brassicaceae	18
AT1G51402.1	Brassicaceae	18
AT1G27490.1	Brassicaceae	18
AT1G03320.1	Brassicaceae	18
AT4G36560.1	Brassicaceae	18
AT1G63057.1	Brassicaceae	18
AT1G63055.1	Brassicaceae	18
AT2G04830.1	Brassicaceae	18
AT1G77885.1	Brassicaceae	18
AT5G26070.1	Brassicaceae	18
AT2G07200.1	Brassicaceae	18
AT4G22217.1	Brassicaceae	18
AT5G26100.1	Brassicaceae	18
AT2G05335.1	Brassicaceae	18
AT5G35698.1	Brassicaceae	18
AT1G74448.1	Brassicaceae	18
AT5G17795.1	Brassicaceae	18
AT3G06710.1	Brassicaceae	18
AT1G69828.1	Brassicaceae	18
AT4G08730.1	Brassicaceae	18
AT3G28750.1	Brassicaceae	18
AT5G28885.1	Brassicaceae	18
AT3G01472.1	Brassicaceae	18
AT2G15110.1	Brassicaceae	18
AT2G03931.1	Brassicaceae	18
AT1G11850.2	Brassicaceae	18
AT1G11850.4	Brassicaceae	18
AT5G65533.1	Brassicaceae	18
AT2G07721.1	Brassicaceae	18
AT5G51451.1	Brassicaceae	18
AT2G05440.5	Brassicaceae	18
AT1G01305.1	Brassicaceae	18
AT2G40955.1	Brassicaceae	18
AT4G10860.1	Brassicaceae	18
AT2G22520.2	Brassicaceae	18
AT3G44770.2	Brassicaceae	18
AT1G28630.2	Brassicaceae	18
AT1G17090.2	Brassicaceae	18
AT3G45093.1	Brassicaceae	18
ATMG01300.1	Brassicaceae	18
AT1G70040.1	Brassicaceae	18
AT1G68250.1	Brassicaceae	18
AT2G40745.1	Brassicaceae	18
AT5G03930.1	Brassicaceae	18
AT3G50925.1	Brassicaceae	18
AT1G43005.1	Brassicaceae	18
AT4G09440.1	Brassicaceae	18
AT2G48075.1	Brassicaceae	18
AT2G18070.1	Brassicaceae	18
AT4G32717.1	Brassicaceae	18
AT1G77525.1	Brassicaceae	18
AT5G55507.1	Brassicaceae	18
AT2G22426.1	Brassicaceae	18
AT1G35820.1	Brassicaceae	18
AT1G53285.1	Brassicaceae	18
AT3G43083.1	Brassicaceae	18
AT3G11745.1	Brassicaceae	18
AT1G34792.1	Brassicaceae	18
AT3G04640.3	Brassicaceae	18
AT5G43285.1	Brassicaceae	18
AT2G41650.1	Brassicaceae	18
AT4G15460.1	Brassicaceae	18
AT1G54950.1	Brassicaceae	18
AT3G54730.1	Brassicaceae	18
AT5G24316.1	Brassicaceae	18
AT2G15185.1	Brassicaceae	18
AT5G59060.1	Brassicaceae	18
AT2G18200.1	Brassicaceae	18
AT3G05450.1	Brassicaceae	18
AT3G13433.1	Brassicaceae	18
AT5G17262.1	Brassicaceae	18
AT1G42525.2	Brassicaceae	18
AT5G01712.1	Brassicaceae	18
AT2G06555.1	Brassicaceae	18
AT3G01325.1	Brassicaceae	18
ATMG01260.1	Brassicaceae	18
AT1G78030.1	Brassicaceae	18
AT3G60700.1	Brassicaceae	18
AT3G23850.1	Brassicaceae	18
AT3G43410.1	Brassicaceae	18
AT3G49270.3	Brassicaceae	18
AT3G01331.1	Brassicaceae	18
AT2G06983.1	Brassicaceae	18
AT3G22968.1	Brassicaceae	18
AT4G01335.1	Brassicaceae	18
AT5G64905.1	Brassicaceae	18
AT2G02498.1	Brassicaceae	18
AT1G21835.1	Brassicaceae	18
AT3G02240.1	Brassicaceae	18
AT3G27425.1	Brassicaceae	18
AT1G66045.1	Brassicaceae	18
AT1G31580.1	Brassicaceae	18
AT2G21725.1	Brassicaceae	18
AT5G04030.1	Brassicaceae	18
AT1G34805.1	Brassicaceae	18
AT5G43525.1	Brassicaceae	18
AT4G30670.1	Brassicaceae	18
AT2G22060.1	Brassicaceae	18
AT4G30662.1	Brassicaceae	18
AT1G51240.1	Brassicaceae	18
AT3G29330.1	Brassicaceae	18
AT4G24950.1	Brassicaceae	18
AT1G43720.1	Brassicaceae	18
AT2G34100.1	Brassicaceae	18
AT5G37650.1	Brassicaceae	18
AT2G11271.1	Brassicaceae	18
AT2G05440.3	Brassicaceae	18
AT3G15950.1	Brassicaceae	18
AT3G44718.1	Brassicaceae	18
AT4G28870.1	Brassicaceae	18
AT5G37420.1	Brassicaceae	18
AT2G20970.1	Brassicaceae	18
AT3G44170.1	Brassicaceae	18
AT1G63535.1	Brassicaceae	18
AT2G41231.2	Brassicaceae	18
AT2G42955.1	Brassicaceae	18
AT4G10880.1	Brassicaceae	18
AT3G13686.1	Brassicaceae	18
AT5G44540.1	Brassicaceae	18
AT5G26270.1	Brassicaceae	18
AT1G65342.1	Brassicaceae	18
AT3G26860.1	Brassicaceae	18
AT2G23067.1	Brassicaceae	18
AT2G07676.1	Brassicaceae	18
AT5G34830.1	Brassicaceae	18
AT5G34828.1	Brassicaceae	18
AT1G19960.1	Brassicaceae	18
AT2G43535.1	Brassicaceae	18
ATMG00870.1	Brassicaceae	18
AT4G12580.1	Brassicaceae	18
AT5G52547.2	Brassicaceae	18
AT1G34047.2	Brassicaceae	18
AT4G22214.1	Brassicaceae	18
AT3G57210.1	Brassicaceae	18
AT1G09026.1	Brassicaceae	18
AT2G19802.1	Brassicaceae	18
AT3G26110.1	Brassicaceae	18
AT1G43145.1	Brassicaceae	18
AT2G03580.1	Brassicaceae	18
AT5G25425.1	Brassicaceae	18
AT5G48953.1	Brassicaceae	18
AT2G06166.1	Brassicaceae	18
AT2G22941.1	Brassicaceae	18
AT5G22520.1	Brassicaceae	18
AT2G38690.1	Brassicaceae	18
AT1G45403.1	Brassicaceae	18
AT1G73603.1	Brassicaceae	18
AT5G39330.2	Brassicaceae	18
AT1G11850.1	Brassicaceae	18
AT1G73607.1	Brassicaceae	18
AT5G23180.1	Brassicaceae	18
AT5G08760.1	Brassicaceae	18
AT4G11100.1	Brassicaceae	18
AT5G37470.1	Brassicaceae	18
AT2G33000.1	Brassicaceae	18
AT5G17950.1	Brassicaceae	18
AT3G27590.1	Brassicaceae	18
AT5G54460.1	Brassicaceae	18
AT1G17090.1	Brassicaceae	18
AT1G62000.1	Brassicaceae	18
AT1G34560.1	Brassicaceae	18
AT4G07666.1	Brassicaceae	18
AT1G49680.1	Brassicaceae	18
AT1G62060.1	Brassicaceae	18
AT1G61165.1	Brassicaceae	18
AT2G25305.1	Brassicaceae	18
AT1G68875.1	Brassicaceae	18
AT1G60989.1	Brassicaceae	18
AT5G18040.1	Brassicaceae	18
AT1G08695.1	Brassicaceae	18
AT4G15990.1	Brassicaceae	18
AT4G03590.1	Brassicaceae	18
AT3G42940.1	Brassicaceae	18
AT5G63063.1	Brassicaceae	18
AT2G22340.1	Brassicaceae	18
AT4G16024.1	Brassicaceae	18
AT5G49260.1	Brassicaceae	18
AT5G17120.1	Brassicaceae	18
AT1G23037.1	Brassicaceae	18
AT2G34870.1	Brassicaceae	18
AT2G15029.1	Brassicaceae	18
AT2G36120.1	Brassicaceae	18
AT1G21864.1	Brassicaceae	18
AT2G20465.1	Brassicaceae	18
AT1G21323.1	Brassicaceae	18
AT5G50565.2	Brassicaceae	18
AT1G34910.1	Brassicaceae	18
AT1G35030.1	Brassicaceae	18
AT2G40085.1	Brassicaceae	18
AT1G21928.1	Brassicaceae	18
AT3G15440.1	Brassicaceae	18
AT5G46877.1	Brassicaceae	18
AT5G41992.1	Brassicaceae	18
AT5G46873.1	Brassicaceae	18
AT1G51010.1	Brassicaceae	18
AT2G06570.1	Brassicaceae	18
AT4G04972.1	Brassicaceae	18
AT3G01328.1	Brassicaceae	18
AT5G62623.1	Brassicaceae	18
AT2G24625.1	Brassicaceae	18
AT3G11060.1	Brassicaceae	18
AT5G01445.1	Brassicaceae	18
AT1G06540.1	Brassicaceae	18
AT3G44570.1	Brassicaceae	18
AT1G59630.1	Brassicaceae	18
AT3G44580.1	Brassicaceae	18
AT2G13542.1	Brassicaceae	18
AT2G04800.2	Brassicaceae	18
AT5G30520.1	Brassicaceae	18
AT4G24600.1	Brassicaceae	18
AT5G48657.1	Brassicaceae	18
AT5G37920.1	Brassicaceae	18
AT3G02242.1	Brassicaceae	18
AT1G50800.1	Brassicaceae	18
AT5G22160.1	Brassicaceae	18
AT5G36920.1	Brassicaceae	18
AT1G59722.1	Brassicaceae	18
AT4G22212.1	Brassicaceae	18
AT4G01671.1	Brassicaceae	18
AT5G22530.1	Brassicaceae	18
AT3G50373.1	Brassicaceae	18
AT1G41820.1	Brassicaceae	18
AT1G35365.1	Brassicaceae	18
AT5G40595.1	Brassicaceae	18
AT1G65113.1	Brassicaceae	18
AT3G04640.1	Brassicaceae	18
ATMG00630.1	Brassicaceae	18
